"last_name, first_name","player_id","year","on_base_plus_slg","xba","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed"
"Davis, J.D.",605204,2023,"0.737",".244",".167",".402",".405",".356",".355",".004","72.2",18.7,13.3,8.7,33.2,21.8,"7.3",11,7.7,9.9,41.5,35.2,"91.1","7.8",33.5,32,9.6,6.3,26,16.5,37.7,3.9,45.2,"101.437064311","95.258851108"
"Devers, Rafael",646240,2023,"0.851",".282",".257",".411",".441",".344",".361","-0.011","73.4",34.2,21,15.9,32.2,24.3,"7.5",6,9.7,0.5,62,26.9,"93.1","12.4",30,58,12.7,8.5,19.9,24.1,32.4,2.2,55.1,"104.483705833","97.182864659"
"Taveras, Leody",665750,2023,"0.733",".270",".136",".374",".379",".342",".352","-0.004","71.3",14.7,16.8,12.9,36.3,27.8,"7.3",5,4.5,-2.5,36.9,31.5,"90.1","10.2",35.2,29,7.2,5.5,28.7,21.4,34.4,2.7,43.1,"100.592817638","94.514120854"
"Castellanos, Nick",592206,2023,"0.787",".258",".185",".441",".420",".380",".364",".014","72.4",28.3,13.8,9.2,32.3,21.6,"7.7",10,15.6,-7,47.7,39.9,"88.9","14.4",36.5,46,10.3,7.4,26.6,24.2,28.2,3.1,43.2,"100.3894813","94.419143027"
"Smith, Dominic",642086,2023,"0.692",".256",".141",".320",".338",".306",".310","-0.002","68.6",5.8,12.7,10.4,37.1,30.4,"7",5,11.6,-3.3,57.1,34.3,"86.3","12.8",37,29,6.6,3.7,25.6,28.3,31.7,4.1,30.8,"97.225088721","92.631850959"
"Straw, Myles",664702,2023,"0.598",".239",".061",".288",".293",".296",".300","-0.001","66.1",1,2.8,2.4,36.7,31.9,"6.7",2,2.1,4.4,32.6,33.8,"86.3","9.4",34,2,0.5,2.4,27.1,28.4,35.3,5.3,23.3,"95.141368287","91.593212265"
"Nimmo, Brandon",607043,2023,"0.829",".261",".193",".411",".400",".360",".346",".013","72.7",27.2,17.9,14.7,37,30.3,"7.2",5,5.5,0.7,45.2,28.5,"91.8","12.2",33.5,43,9.5,6.4,23.7,25.9,31.3,3.1,47.9,"101.50757","95.462726837"
"Lindor, Francisco",596019,2023,"0.806",".255",".202",".388",".388",".324",".329","-0.001","71",14.7,14.8,11.8,35.4,28.3,"7.6",2,10.8,-4.9,59,32.3,"91.2","19.2",35.8,49,10.4,7.2,23.3,33.1,23.9,2.1,43.9,"100.821281314","94.916417775"
"Verdugo, Alex",657077,2023,"0.745",".278",".139",".346",".358",".314",".335","-0.014","67.6",2.9,15.8,12.9,43.7,35.6,"6.2",5,6.3,-1.3,46.6,29.2,"89.2","8.8",35.4,23,5,6.3,28.4,23.6,33.6,2.6,37.6,"99.116993728","93.701176864"
"Olson, Matt",621566,2023,"0.993",".264",".294",".504",".470",".387",".362",".019","74.9",49.8,17.5,13.4,30.2,23.1,"7.3",8,8.3,-0.6,47.8,35.4,"93.7","16.1",31,73,16.4,9.2,19.1,26.1,27.2,1.8,55.5,"104.825276757","97.314084392"
